protein_name,genotype,bio_rep,tech_rep,timepoints,timepoints_values,new_annotation
PROT_0001,Genotype_A,1,0,0,111486.8916,PEP_00001
PROT_0001,Genotype_A,2,0,0,169993.6579,PEP_00001
PROT_0001,Genotype_A,3,0,0,7241966.484,PEP_00001
PROT_0001,Genotype_A,1,0,150,174394.3886,PEP_00001
PROT_0001,Genotype_A,2,0,150,2955899.827,PEP_00001
PROT_0001,Genotype_A,3,0,150,8016064.671,PEP_00001
PROT_0001,Genotype_A,1,0,300,5492109.406,PEP_00001
PROT_0001,Genotype_A,2,0,300,3538357.535,PEP_00001
PROT_0001,Genotype_A,3,0,300,7349008.16,PEP_00001
PROT_0001,Genotype_A,1,0,600,4918658.549,PEP_00001
PROT_0001,Genotype_A,2,0,600,2443341,PEP_00001
PROT_0001,Genotype_A,3,0,600,8404376.622,PEP_00001
PROT_0002,Genotype_A,1,0,0,235893.3629,PEP_00002
PROT_0002,Genotype_A,2,0,0,1258469.981,PEP_00002
PROT_0002,Genotype_A,3,0,0,1165187.649,PEP_00002
PROT_0002,Genotype_A,1,0,150,137232.6935,PEP_00002
PROT_0002,Genotype_A,2,0,150,1936408.047,PEP_00002
PROT_0002,Genotype_A,3,0,150,1863533.888,PEP_00002
PROT_0002,Genotype_A,1,0,300,1160827.307,PEP_00002
PROT_0002,Genotype_A,2,0,300,472120.035,PEP_00002
PROT_0002,Genotype_A,3,0,300,1047840.052,PEP_00002
PROT_0002,Genotype_A,1,0,600,1191903.571,PEP_00002
PROT_0002,Genotype_A,2,0,600,937418,PEP_00002
PROT_0002,Genotype_A,3,0,600,1830757.386,PEP_00002
PROT_0003,Genotype_A,1,0,0,3791629.508,PEP_00003
PROT_0003,Genotype_A,2,0,0,81717.50699,PEP_00003
PROT_0003,Genotype_A,3,0,0,15266.47221,PEP_00003
PROT_0003,Genotype_A,1,0,150,944226.8409,PEP_00003
PROT_0003,Genotype_A,2,0,150,84532.03182,PEP_00003
PROT_0003,Genotype_A,3,0,150,180537.4846,PEP_00003
PROT_0003,Genotype_A,1,0,300,816613.5282,PEP_00003
PROT_0003,Genotype_A,2,0,300,169554.6076,PEP_00003
PROT_0003,Genotype_A,3,0,300,175937.9246,PEP_00003
PROT_0003,Genotype_A,1,0,600,1631692.525,PEP_00003
PROT_0003,Genotype_A,2,0,600,84040.44485,PEP_00003
PROT_0003,Genotype_A,3,0,600,159283.9359,PEP_00003
PROT_0004,Genotype_A,1,0,0,3756214.109,PEP_00004
PROT_0004,Genotype_A,2,0,0,8545376.587,PEP_00004
PROT_0004,Genotype_A,3,0,0,48507.79591,PEP_00004
PROT_0004,Genotype_A,1,0,150,4284562.887,PEP_00004
PROT_0004,Genotype_A,2,0,150,8610916.265,PEP_00004
PROT_0004,Genotype_A,3,0,150,270915.7291,PEP_00004
PROT_0004,Genotype_A,1,0,300,2737594.723,PEP_00004
PROT_0004,Genotype_A,2,0,300,4886541.423,PEP_00004
PROT_0004,Genotype_A,3,0,300,140001.1155,PEP_00004
PROT_0004,Genotype_A,1,0,600,5733626.734,PEP_00004
PROT_0004,Genotype_A,2,0,600,4751788.75,PEP_00004
PROT_0004,Genotype_A,3,0,600,5415.203205,PEP_00004
PROT_0004,Genotype_A,1,0,0,166790.4275,PEP_00005
PROT_0004,Genotype_A,2,0,0,553649.9964,PEP_00005
PROT_0004,Genotype_A,3,0,0,136401.6956,PEP_00005
PROT_0004,Genotype_A,1,0,150,266845.5044,PEP_00005
PROT_0004,Genotype_A,2,0,150,4006341.799,PEP_00005
PROT_0004,Genotype_A,3,0,150,185585.3874,PEP_00005
PROT_0004,Genotype_A,1,0,300,174868.0438,PEP_00005
PROT_0004,Genotype_A,2,0,300,3295667.355,PEP_00005
PROT_0004,Genotype_A,3,0,300,102836.0861,PEP_00005
PROT_0004,Genotype_A,1,0,600,180558.5601,PEP_00005
PROT_0004,Genotype_A,2,0,600,3522765.25,PEP_00005
PROT_0004,Genotype_A,3,0,600,44839.52231,PEP_00005
PROT_0005,Genotype_A,1,0,0,200010.3521,PEP_00006
PROT_0005,Genotype_A,2,0,0,149637.2444,PEP_00006
PROT_0005,Genotype_A,3,0,0,1845475.836,PEP_00006
PROT_0005,Genotype_A,1,0,150,220038.2348,PEP_00006
PROT_0005,Genotype_A,2,0,150,143820.5682,PEP_00006
