molecule_list_name,peptide_modified_sequence,genotype,timepoint,bio_rep,tech_rep,total_area
MOL_0001,PEP_00001,Genotype_A,0,1,1,0.00103127476469612
MOL_0001,PEP_00001,Genotype_A,0,1,2,0.00113026661562861
MOL_0001,PEP_00001,Genotype_A,0,2,1,5.243215936402298e-4
MOL_0001,PEP_00001,Genotype_A,0,2,2,2.8351778218657056e-4
MOL_0001,PEP_00001,Genotype_A,0,3,1,NA
MOL_0001,PEP_00001,Genotype_A,0,3,2,NA
MOL_0001,PEP_00001,Genotype_A,1,1,1,3.928204766876915e-4
MOL_0001,PEP_00001,Genotype_A,1,1,2,1.6689876832234684e-4
MOL_0001,PEP_00001,Genotype_A,1,2,1,3.295988259264822e-4
MOL_0001,PEP_00001,Genotype_A,1,2,2,NA
MOL_0001,PEP_00001,Genotype_A,1,3,1,2.9798960851092754e-4
MOL_0001,PEP_00001,Genotype_A,1,3,2,NA
MOL_0001,PEP_00001,Genotype_A,1.5,1,1,8.217341462339908e-4
MOL_0001,PEP_00001,Genotype_A,1.5,1,2,6.690246059064436e-4
MOL_0001,PEP_00001,Genotype_A,1.5,2,1,3.1470349712453826e-4
MOL_0001,PEP_00001,Genotype_A,1.5,2,2,1.346959767677371e-4
MOL_0001,PEP_00001,Genotype_A,1.5,3,1,1.1710257374958252e-4
MOL_0001,PEP_00001,Genotype_A,1.5,3,2,NA
MOL_0001,PEP_00001,Genotype_A,2,1,1,2.0775653093146705e-4
MOL_0001,PEP_00001,Genotype_A,2,1,2,7.837693850908216e-5
MOL_0001,PEP_00001,Genotype_A,2,2,1,1.9017601691228333e-4
MOL_0001,PEP_00001,Genotype_A,2,2,2,1.581137492207659e-4
MOL_0001,PEP_00001,Genotype_A,2,3,1,6.295830819723463e-4
MOL_0001,PEP_00001,Genotype_A,2,3,2,5.263547979255315e-4
MOL_0001,PEP_00001,Genotype_A,4,1,1,0.00136620419441876
MOL_0001,PEP_00001,Genotype_A,4,1,2,0.00113163563011759
MOL_0001,PEP_00001,Genotype_A,4,2,1,3.868548155568723e-4
MOL_0001,PEP_00001,Genotype_A,4,2,2,1.4093299595609602e-4
MOL_0001,PEP_00001,Genotype_A,4,3,1,6.393793889488932e-4
MOL_0001,PEP_00001,Genotype_A,4,3,2,3.10900930623604e-4
MOL_0001,PEP_00001,Genotype_A,6,1,1,9.174940316960762e-5
MOL_0001,PEP_00001,Genotype_A,6,1,2,NA
MOL_0001,PEP_00001,Genotype_A,6,2,1,1.286627541028258e-4
MOL_0001,PEP_00001,Genotype_A,6,2,2,NA
MOL_0001,PEP_00001,Genotype_A,6,3,1,1.267226123329643e-4
MOL_0001,PEP_00001,Genotype_A,6,3,2,NA
MOL_0001,PEP_00001,Genotype_B,0,1,1,0.001118803023686
MOL_0001,PEP_00001,Genotype_B,0,1,2,0.00133976916080747
MOL_0001,PEP_00001,Genotype_B,0,2,1,3.999198812959078e-4
MOL_0001,PEP_00001,Genotype_B,0,2,2,2.315327772028156e-4
MOL_0001,PEP_00001,Genotype_B,0,3,1,NA
MOL_0001,PEP_00001,Genotype_B,0,3,2,NA
MOL_0001,PEP_00001,Genotype_B,1,1,1,2.9391062151179297e-4
MOL_0001,PEP_00001,Genotype_B,1,1,2,3.2219239052112966e-4
MOL_0001,PEP_00001,Genotype_B,1,2,1,2.806289692873941e-4
MOL_0001,PEP_00001,Genotype_B,1,2,2,NA
MOL_0001,PEP_00001,Genotype_B,1,3,1,2.437058331043849e-4
MOL_0001,PEP_00001,Genotype_B,1,3,2,4.2635843839165224e-4
MOL_0001,PEP_00001,Genotype_B,1.5,1,1,5.357397314346171e-4
MOL_0001,PEP_00001,Genotype_B,1.5,1,2,3.753708944062304e-4
MOL_0001,PEP_00001,Genotype_B,1.5,2,1,1.574460732682913e-4
MOL_0001,PEP_00001,Genotype_B,1.5,2,2,NA
MOL_0001,PEP_00001,Genotype_B,1.5,3,1,NA
MOL_0001,PEP_00001,Genotype_B,1.5,3,2,NA
MOL_0001,PEP_00001,Genotype_B,2,1,1,2.511315594064867e-4
MOL_0001,PEP_00001,Genotype_B,2,1,2,NA
MOL_0001,PEP_00001,Genotype_B,2,2,1,NA
MOL_0001,PEP_00001,Genotype_B,2,2,2,NA
MOL_0001,PEP_00001,Genotype_B,2,3,1,4.290710646903085e-4
MOL_0001,PEP_00001,Genotype_B,2,3,2,2.7558916939719806e-4
MOL_0001,PEP_00001,Genotype_B,4,1,1,6.114208358951406e-4
MOL_0001,PEP_00001,Genotype_B,4,1,2,2.8314730830228326e-4
MOL_0001,PEP_00001,Genotype_B,4,2,1,7.396196649550709e-4
MOL_0001,PEP_00001,Genotype_B,4,2,2,6.033080750375666e-4
MOL_0001,PEP_00001,Genotype_B,4,3,1,2.630847113921185e-4
MOL_0001,PEP_00001,Genotype_B,4,3,2,NA
MOL_0001,PEP_00001,Genotype_B,6,1,1,1.0078039844816298e-4
MOL_0001,PEP_00001,Genotype_B,6,1,2,NA
MOL_0001,PEP_00001,Genotype_B,6,2,1,1.0852914975312028e-4
MOL_0001,PEP_00001,Genotype_B,6,2,2,8.990222704900061e-5
MOL_0001,PEP_00001,Genotype_B,6,3,1,2.781841748341474e-4
MOL_0001,PEP_00001,Genotype_B,6,3,2,NA
MOL_0001,PEP_00002,Genotype_A,0,1,1,0.00179934964520458
MOL_0001,PEP_00002,Genotype_A,0,1,2,0.00250843837561844
MOL_0001,PEP_00002,Genotype_A,0,2,1,0.00233894300920589
MOL_0001,PEP_00002,Genotype_A,0,2,2,0.00286072435075141
MOL_0001,PEP_00002,Genotype_A,0,3,1,0.00136231597657841
MOL_0001,PEP_00002,Genotype_A,0,3,2,0.00192259215534124
MOL_0001,PEP_00002,Genotype_A,1,1,1,0.00225509090843004
MOL_0001,PEP_00002,Genotype_A,1,1,2,0.00313314624225989
MOL_0001,PEP_00002,Genotype_A,1,2,1,0.00348433309812819
MOL_0001,PEP_00002,Genotype_A,1,2,2,NA
MOL_0001,PEP_00002,Genotype_A,1,3,1,0.00209722469691631
MOL_0001,PEP_00002,Genotype_A,1,3,2,0.00304540204669206
MOL_0001,PEP_00002,Genotype_A,1.5,1,1,0.00252579875498647
MOL_0001,PEP_00002,Genotype_A,1.5,1,2,0.00316720541212345
MOL_0001,PEP_00002,Genotype_A,1.5,2,1,0.0025051928175003
MOL_0001,PEP_00002,Genotype_A,1.5,2,2,0.00374273713127137
MOL_0001,PEP_00002,Genotype_A,1.5,3,1,0.00129682019766767
MOL_0001,PEP_00002,Genotype_A,1.5,3,2,0.00207096334438387
MOL_0001,PEP_00002,Genotype_A,2,1,1,0.00149571607430148
MOL_0001,PEP_00002,Genotype_A,2,1,2,0.00161195334311101
MOL_0001,PEP_00002,Genotype_A,2,2,1,0.00222014731424972
MOL_0001,PEP_00002,Genotype_A,2,2,2,0.00300053307163942
